Date__(UT)__HR:MN,R.A._(ICRF/J2000.0)_DEC,APmag,S-brt,delta,deldot,S-O-T,/r,S-T-O
2016-Aug-18 00:00,11 06 42.48 +07 11 58.6,-3.84,0.94,1.587516433,-6.8395844,19.7377,/T,28.3005
2016-Aug-19 00:00,11 11 14.31 +06 42 30.7,-3.84,0.95,1.583544325,-6.9145673,20.0014,/T,28.6855
2016-Aug-20 00:00,11 15 45.52 +06 12 52.0,-3.84,0.95,1.579529163,-6.9886866,20.2647,/T,29.07
2016-Aug-21 00:00,11 20 16.14 +05 43 03.2,-3.84,0.95,1.575471403,-7.0620837,20.5273,/T,29.4539
2016-Aug-22 00:00,11 24 46.22 +05 13 05.0,-3.84,0.96,1.57137142,-7.1349113,20.7894,/T,29.8374
2016-Aug-23 00:00,11 29 15.81 +04 42 58.1,-3.84,0.96,1.567229498,-7.2073158,21.051,/T,30.2204
2016-Aug-24 00:00,11 33 44.93 +04 12 43.2,-3.84,0.97,1.563045847,-7.2794209,21.3119,/T,30.6028
2016-Aug-25 00:00,11 38 13.64 +03 42 21.0,-3.84,0.97,1.558820609,-7.3513177,21.5722,/T,30.9847
2016-Aug-26 00:00,11 42 41.98 +03 11 52.2,-3.84,0.97,1.554553889,-7.4230604,21.832,/T,31.366
2016-Aug-27 00:00,11 47 09.99 +02 41 17.4,-3.84,0.98,1.550245767,-7.4946677,22.0911,/T,31.7468
2016-Aug-28 00:00,11 51 37.70 +02 10 37.6,-3.84,0.98,1.545896326,-7.566126,22.3497,/T,32.127
2016-Aug-29 00:00,11 56 05.17 +01 39 53.2,-3.84,0.98,1.54150566,-7.6373948,22.6077,/T,32.5066
2016-Aug-30 00:00,12 00 32.42 +01 09 05.1,-3.84,0.99,1.537073898,-7.708412,22.865,/T,32.8857
2016-Aug-31 00:00,12 04 59.51 +00 38 13.9,-3.84,0.99,1.532601205,-7.7791001,23.1218,/T,33.2643
2016-Sep-01 00:00,12 09 26.46 +00 07 20.5,-3.84,1,1.528087796,-7.8493727,23.378,/T,33.6424
2016-Sep-02 00:00,12 13 53.33 -00 23 34.6,-3.84,1,1.523533938,-7.9191412,23.6336,/T,34.0199
2016-Sep-03 00:00,12 18 20.15 -00 54 30.6,-3.84,1,1.518939945,-7.988321,23.8885,/T,34.397
2016-Sep-04 00:00,12 22 46.97 -01 25 26.7,-3.84,1.01,1.514306181,-8.0568354,24.1429,/T,34.7735
2016-Sep-05 00:00,12 27 13.81 -01 56 22.3,-3.84,1.01,1.50963305,-8.1246185,24.3968,/T,35.1496
2016-Sep-06 00:00,12 31 40.73 -02 27 16.6,-3.84,1.01,1.50492099,-8.1916143,24.65,/T,35.5252
2016-Sep-07 00:00,12 36 07.76 -02 58 08.9,-3.84,1.02,1.50017047,-8.2577759,24.9025,/T,35.9003
2016-Sep-08 00:00,12 40 34.95 -03 28 58.4,-3.84,1.02,1.495381983,-8.3230616,25.1545,/T,36.2751
2016-Sep-09 00:00,12 45 02.33 -03 59 44.6,-3.84,1.03,1.490556049,-8.3874323,25.4059,/T,36.6494
2016-Sep-10 00:00,12 49 29.95 -04 30 26.6,-3.85,1.03,1.485693205,-8.4508483,25.6566,/T,37.0233
2016-Sep-11 00:00,12 53 57.84 -05 01 03.7,-3.85,1.03,1.480794016,-8.5132673,25.9067,/T,37.3968
2016-Sep-12 00:00,12 58 26.05 -05 31 35.2,-3.85,1.04,1.475859069,-8.5746457,26.1561,/T,37.77
2016-Sep-13 00:00,13 02 54.61 -06 02 00.3,-3.85,1.04,1.470888979,-8.6349419,26.4049,/T,38.1427
2016-Sep-14 00:00,13 07 23.58 -06 32 18.4,-3.85,1.04,1.46588438,-8.6941246,26.653,/T,38.5151
2016-Sep-15 00:00,13 11 52.98 -07 02 28.7,-3.85,1.05,1.460845919,-8.7521852,26.9004,/T,38.8872
2016-Sep-16 00:00,13 16 22.86 -07 32 30.6,-3.85,1.05,1.455774239,-8.8091515,27.1471,/T,39.2589
2016-Sep-17 00:00,13 20 53.26 -08 02 23.1,-3.85,1.05,1.450669951,-8.8650992,27.393,/T,39.6303
2016-Sep-18 00:00,13 25 24.22 -08 32 05.8,-3.86,1.06,1.44553361,-8.9201545,27.6382,/T,40.0014
2016-Sep-19 00:00,13 29 55.79 -09 01 37.7,-3.86,1.06,1.440365686,-8.9744836,27.8827,/T,40.3721
2016-Sep-20 00:00,13 34 28.00 -09 30 58.3,-3.86,1.07,1.435166543,-9.0282705,28.1263,/T,40.7425
2016-Sep-21 00:00,13 39 00.90 -10 00 06.7,-3.86,1.07,1.429936445,-9.0816908,28.3692,/T,41.1125
2016-Sep-22 00:00,13 43 34.52 -10 29 02.3,-3.86,1.07,1.424675559,-9.1348902,28.6113,/T,41.4823
2016-Sep-23 00:00,13 48 08.90 -10 57 44.2,-3.87,1.08,1.419383979,-9.1879733,28.8526,/T,41.8516
2016-Sep-24 00:00,13 52 44.08 -11 26 11.9,-3.87,1.08,1.414061754,-9.241003,29.0931,/T,42.2207
2016-Sep-25 00:00,13 57 20.09 -11 54 24.5,-3.87,1.08,1.408708904,-9.2940063,29.3328,/T,42.5894
2016-Sep-26 00:00,14 01 56.97 -12 22 21.2,-3.87,1.09,1.403325444,-9.3469821,29.5717,/T,42.9579
2016-Sep-27 00:00,14 06 34.74 -12 50 01.4,-3.87,1.09,1.397911396,-9.3999087,29.8098,/T,43.3261
2016-Sep-28 00:00,14 11 13.44 -13 17 24.3,-3.88,1.09,1.392466797,-9.4527496,30.0471,/T,43.694
2016-Sep-29 00:00,14 15 53.09 -13 44 29.1,-3.88,1.1,1.386991711,-9.5054577,30.2837,/T,44.0616
2016-Sep-30 00:00,14 20 33.72 -14 11 15.0,-3.88,1.1,1.381486229,-9.5579787,30.5194,/T,44.4291
2016-Oct-01 00:00,14 25 15.36 -14 37 41.2,-3.88,1.1,1.375950476,-9.6102538,30.7544,/T,44.7964
2016-Oct-02 00:00,14 29 58.02 -15 03 47.1,-3.89,1.11,1.370384612,-9.6622229,30.9885,/T,45.1635
2016-Oct-03 00:00,14 34 41.74 -15 29 31.8,-3.89,1.11,1.36478883,-9.7138267,31.2219,/T,45.5305
2016-Oct-04 00:00,14 39 26.51 -15 54 54.5,-3.89,1.11,1.359163359,-9.7650087,31.4545,/T,45.8974
2016-Oct-05 00:00,14 44 12.38 -16 19 54.6,-3.89,1.12,1.353508457,-9.8157158,31.6863,/T,46.2642
2016-Oct-06 00:00,14 48 59.34 -16 44 31.1,-3.9,1.12,1.347824412,-9.865898,31.9173,/T,46.631
,,,,,,,,
